city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Şişli,Fulya,Daire,3,1,980.000 TL,Bugün,140 m2,7. Kat,30 Yaşında,Kombi,8 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,İkinci El,Boş,Kat Mülkiyeti,200 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Gayrettepe,Daire,3,1,900.000 TL,Bugün,110 m2,8. Kat,30 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,1.0,Betonarme,İkinci El,Boş,Kat Mülkiyeti,450 TL,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Ümraniye,Yamanevler,Daire,3,1,1.890.000 TL,Bugün,178 m2,10. Kat,Sıfır Bina,Merkezi (Pay Ölçer),29 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,Sıfır,Ev Sahibi Oturuyor,Kat Mülkiyeti,622 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Eyüpsultan,Göktürk Merkez,Villa,6,1,12.500.000 TL,Bugün,500 m2,Villa Katı,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,4.0,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,1.800 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Avcılar,Mustafa Kemal Paşa,Daire,4,1,329.000 TL,Bugün,155 m2,2. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Evet,Güney,Doğalgaz
İstanbul,Şişli,Harbiye,Residence,1,1,5.000.000 TL,Bugün,121 m2,21 ve üzeri,15 Yaşında,Merkezi (Pay Ölçer),35 Katlı,Uygun,Eşyalı Değil,1.0,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Levazım,Residence,2,1,8.200.000 TL,Bugün,198 m2,Bahçe Katı,4 Yaşında,Merkezi (Pay Ölçer),20 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Levazım,Residence,1,1,8.500.000 TL,Bugün,190 m2,5. Kat,5 Yaşında,Merkezi (Pay Ölçer),8 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Levazım,Residence,4,1,21.000.000 TL,Bugün,290 m2,10. Kat,4 Yaşında,Merkezi (Pay Ölçer),18 Katlı,Uygun,Eşyalı Değil,4.0,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beylikdüzü,Adnan Kahveci,Daire,3,1,685.000 TL,Bugün,203 m2,4. Kat,15 Yaşında,Kombi,15 Katlı,Uygun,Eşyalı Değil,2.0,,,Belirtilmemiş,Kat Mülkiyeti,,,,,Doğalgaz
İstanbul,Beşiktaş,Levazım,Daire,4,1,7.750.000 TL,Bugün,212 m2,Bahçe Katı,2 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,3.000 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Kadıköy,Caddebostan,Daire,3,1,2.500.000 TL,Bugün,151 m2,7. Kat,2 Yaşında,Kombi,10 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,,,Kat Mülkiyeti,,Hayır,,Güney,Doğalgaz
İstanbul,Beylikdüzü,Cumhuriyet,Daire,2,1,189.900 TL,Bugün,100 m2,Kot 1,5 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı,1.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Evet,Güney,Doğalgaz
İstanbul,Kağıthane,Çeliktepe,Daire,1,1,250.000 TL,Bugün,50 m2,Bahçe Katı,6 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı,1.0,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,30 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Küçükçekmece,Cumhuriyet,Daire,3,1,400.000 TL,Bugün,120 m2,2. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,İkinci El,Boş,Kat İrtifakı,,Hayır,,Güney,Doğalgaz
İstanbul,Beylikdüzü,Cumhuriyet,Daire,3,1,119.900 TL,Bugün,125 m2,Kot 1,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1.0,,,,,,,,,
İstanbul,Beylikdüzü,Beylikdüzü OSB,Daire,2,1,183.000 TL,Bugün,110 m2,3. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,Evet,Güney,Doğalgaz
İstanbul,Beşiktaş,Levazım,Daire,5,2,18.200.000 TL,Bugün,458 m2,Çatı Katı,2 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,3.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Levazım,Residence,2,1,4.900.000 TL,Bugün,143 m2,4. Kat,2 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Levazım,Daire,3,1,7.700.000 TL,Bugün,212 m2,Bahçe Katı,2 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Levazım,Residence,4,2,16.100.000 TL,Bugün,420 m2,Bahçe Katı,2 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,4.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Levazım,Residence,4,1,8.750.000 TL,Bugün,236 m2,4. Kat,2 Yaşında,Merkezi (Pay Ölçer),5 Katlı,Uygun,Eşyalı Değil,3.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Maltepe,Aydınevler,Daire,6,2,695.000 TL,Bugün,180 m2,3. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,Evet,Batı,Doğalgaz
İstanbul,Maltepe,İdealtepe,Daire,4,2,950.000 TL,Bugün,200 m2,4. Kat,6 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2.0,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,100 TL,Hayır,,"Güney,",Doğalgaz
İstanbul,Başakşehir,Bahçeşehir 2. Kısım,Villa,6,2,5.000.000 TL,Bugün,455 m2,3. Kat,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,5.0,Betonarme,İkinci El,Ev Sahibi Oturuyor,,785,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Üsküdar,Kuzguncuk,Villa,4,2,55.000.000 TL,Bugün,750 m2,Villa Katı,40 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3.0,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Sarıyer,Tarabya,Yalı Dairesi,3,1,6.500.000 TL,Bugün,175 m2,4. Kat,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1.0,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Üsküdar,Kandilli,Köşk,10,3,20.250.000 TL,Bugün,858 m2,Villa Katı,50 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,7.0,Ahşap,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,"Kuzey,",Doğalgaz
İstanbul,Beylikdüzü,Beylikdüzü OSB,Daire,2,1,268.500 TL,Bugün,105 m2,3. Kat,Sıfır Bina,Kombi,6 Katlı,Uygun,Eşyalı Değil,1.0,Betonarme,Sıfır,Boş,,,Evet,Evet,Güney,Doğalgaz
İstanbul,Esenler,Menderes,Daire,2,1,350.000 TL,Bugün,95 m2,4. Kat,11 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1.0,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,40 TL,Hayır,Evet,"Kuzey,",Doğalgaz
