city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Bahçelievler,Siyavuşpaşa,Daire,3,1,460.000 TL,5 Gün Önce,135 m2,1. Kat,25 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,,,Güney,Doğalgaz
İstanbul,Beyoğlu,Cihangir,Daire,2,1,1.250.000 TL,10 Gün Önce,90 m2,5. Kat,38 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,,"Doğu,",Doğalgaz
İstanbul,Esenyurt,Mevlana,Daire,3,1,1.100.000 TL,21 Gün Önce,180 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,400 TL,Evet,Evet,Güney,Doğalgaz
İstanbul,Kadıköy,Merdivenköy,Daire,2,1,345.000 TL,Bugün,75 m2,Bahçe Katı,45 Yaşında,Merkezi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,120 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Sarıyer,Maden,Daire,2,1,1.100.000 TL,7 Gün Önce,160 m2,En Üst Kat,3 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,500 TL,,,Doğu,Doğalgaz
İstanbul,Beşiktaş,Nisbetiye,Daire,1,1,525.000 TL,3 Gün Önce,60 m2,Yüksek Giriş,9 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,75 TL,Evet,,,Doğalgaz
İstanbul,Bakırköy,Şenlikköy,Bina,20,6,20.000.000 TL,5 Gün Önce,1.200 m2,Kot 2,25 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,8,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,,,Güney,Doğalgaz
İstanbul,Küçükçekmece,Cumhuriyet,Daire,2,1,650.000 TL,4 Gün Önce,120 m2,7. Kat,Sıfır Bina,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,,Doğalgaz
İstanbul,Bahçelievler,Soğanlı,Daire,3,1,285.000 TL,19 Gün Önce,110 m2,Bahçe Katı,10 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,,,Güney,Elektrik
İstanbul,Kadıköy,19 Mayıs,Daire,3,1,750.000 TL,5 Gün Önce,135 m2,4. Kat,27 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,,,,Doğalgaz
İstanbul,Kadıköy,Fenerbahçe,Daire,2,2,2.000.000 TL,2 Gün Önce,130 m2,3. Kat,6 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,,,Hayır,,,Doğalgaz
İstanbul,Kadıköy,Suadiye,Daire,3,1,3.200.000 TL,6 Gün Önce,125 m2,Bahçe Katı,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Gayrettepe,Daire,3,1,1.500.000 TL,17 Gün Önce,145 m2,5. Kat,38 Yaşında,Merkezi,8 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,280 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beşiktaş,Dikilitaş,Daire,1,1,700.000 TL,17 Gün Önce,80 m2,Giriş Katı,3 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,50 TL,Hayır,Evet,"Güney,",Doğalgaz
