city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Bakırköy,Şenlikköy,Müstakil Ev,6,1,7.250.000 TL,4 Gün Önce,450 m2,Villa Katı,18 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,4,Betonarme,İkinci El,Boş,Kat İrtifakı,,,,"Güney,",Doğalgaz
İstanbul,Sancaktepe,Emek,Daire,4,1,1.180.000 TL,19 Gün Önce,250 m2,Bahçe Katı,7 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,,,Güney,Doğalgaz
İstanbul,Esenyurt,Sultaniye,Daire,1,1,285.000 TL,28 Gün Önce,90 m2,17. Kat,Sıfır Bina,Merkezi (Pay Ölçer),30 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Bakırköy,Yeşilköy,Daire,5,2,5.900.000 TL,13 Gün Önce,310 m2,4. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,,,Doğalgaz
İstanbul,Beylikdüzü,Cumhuriyet,Daire,2,1,256.000 TL,3 Gün Önce,110 m2,Ara Kat,Sıfır Bina,Kombi,6 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,Evet,,"Kuzey,",Doğalgaz
İstanbul,Sarıyer,Maslak,Daire,1,1,1.134.000 TL,9 Gün Önce,77 m2,21 ve üzeri,3 Yaşında,Merkezi (Pay Ölçer),31 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,Güney,Doğalgaz
İstanbul,Beylikdüzü,Adnan Kahveci,Daire,5,2,525.000 TL,9 Gün Önce,265 m2,4. Kat,9 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,,,,,,
İstanbul,Maltepe,İdealtepe,Daire,1,1,450.000 TL,8 Gün Önce,70 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,75 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Maltepe,Aydınevler,Daire,2,1,399.000 TL,9 Gün Önce,85 m2,Giriş Katı,6 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,50 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Bakırköy,Basınköy,Daire,5,1,5.750.000 TL,13 Gün Önce,350 m2,2. Kat,Sıfır Bina,Kombi,2 Katlı,Uygun,Eşyalı Değil,6,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,,,Doğalgaz
İstanbul,Beşiktaş,Kültür,Daire,3,1,1.400.000 TL,Dün,140 m2,4. Kat,33 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,,,,Kat Mülkiyeti,100 TL,,,Güney,
İstanbul,Üsküdar,Beylerbeyi,Daire,1,1,389.000 TL,5 Gün Önce,55 m2,2. Kat,40 Yaşında,Isıtma Yok,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Evet,,Doğalgaz
İstanbul,Sarıyer,Demirciköy,Villa,6,2,3.900.000 TL,13 Gün Önce,400 m2,Villa Katı,12 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,5,Betonarme,İkinci El,Boş,Kat Mülkiyeti,900 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Maltepe,Altıntepe,Daire,2,1,370.000 TL,19 Gün Önce,100 m2,1. Kat,26 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,75 TL,,,Güney,Doğalgaz
İstanbul,Şile,Balibey,Daire,2,1,220.000 TL,Bugün,95 m2,Zemin,27 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,,,,,Doğalgaz
İstanbul,Avcılar,Üniversite,Daire,3,1,525.000 TL,22 Gün Önce,130 m2,2. Kat,9 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,30 TL,Hayır,Evet,Doğu,Doğalgaz
İstanbul,Başakşehir,Bahçeşehir 2. Kısım,Daire,3,1,950.000 TL,20 Gün Önce,140 m2,13. Kat,1 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Şişli,19 Mayıs,Daire,4,1,1.425.000 TL,17 Gün Önce,200 m2,2. Kat,25 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,150 TL,Hayır,Evet,,Doğalgaz
