city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Eyüpsultan,Akşemsettin,Daire,4,2,670.000 TL,9 Gün Önce,210 m2,4. Kat,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,35 TL,Hayır,,Doğu,Doğalgaz
İstanbul,Silivri,Selimpaşa,Çiftlik Evi,15,2,17.500.000 TL,9 Gün Önce,850 m2,Villa Katı,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,5,Betonarme,İkinci El,Ev Sahibi Oturuyor,Arsa,,,,,Doğalgaz
İstanbul,Silivri,Ortaköy,Villa,12,1,4.000.000 TL,7 Gün Önce,500 m2,Villa Katı,15 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,2,,,,,,,,,
İstanbul,Maltepe,Aydınevler,Daire,2,1,390.000 TL,7 Gün Önce,90 m2,2. Kat,Sıfır Bina,Merkezi (Pay Ölçer),4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,120 TL,Hayır,Evet,,Doğalgaz
İstanbul,Fatih,Ayvansaray,Müstakil Ev,2,2,320.000 TL,34 Gün Önce,135 m2,,35 Yaşında,Kombi,,Uygun değil,Eşyalı Değil,1,,,,,,,,,
İstanbul,Sarıyer,Emirgan,Daire,4,2,13.500.000 TL,Dün,305 m2,2. Kat,35 Yaşında,Merkezi,4 Katlı,Bilinmiyor,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,,,,Doğalgaz
İstanbul,Bahçelievler,Siyavuşpaşa,Daire,2,1,350.000 TL,Dün,90 m2,2. Kat,25 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,25 TL,Hayır,,Batı,Doğalgaz
İstanbul,Şişli,Bozkurt,Daire,2,1,560.000 TL,5 Gün Önce,95 m2,,35 Yaşında,Kombi,,Uygun,Eşyalı Değil,1,,,,,,,,,
İstanbul,Sarıyer,Tarabya,Daire,3,1,5.250.000 TL,22 Gün Önce,155 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,,,,,,,
İstanbul,Fatih,Karagümrük,Bina,4,0,1.100.000 TL,22 Gün Önce,97 m2,Ara Kat,50 Yaşında,Kombi,2 Katlı,Uygun değil,Eşyalı Değil,1,,İkinci El,,,,,,,
İstanbul,Beşiktaş,Dikilitaş,Daire,2,1,4.200.000 TL,Dün,142 m2,11. Kat,10 Yaşında,Merkezi,23 Katlı,Uygun,Eşyalı Değil,2,,,Boş,,,Hayır,,,Doğalgaz
İstanbul,Üsküdar,İcadiye,Daire,2,1,480.000 TL,19 Gün Önce,85 m2,4. Kat,26 Yaşında,Kombi,5 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Arsa,30 TL,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Maltepe,Cevizli,Daire,3,1,1.190.000 TL,10 Gün Önce,140 m2,15. Kat,Sıfır Bina,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,,,,,,,,,
İstanbul,Beşiktaş,Yıldız,Daire,3,1,2.500.000 TL,Bugün,135 m2,7. Kat,30 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,30 TL,,Evet,"Güney,",Doğalgaz
İstanbul,Avcılar,Cihangir,Daire,3,1,230.000 TL,7 Gün Önce,145 m2,1. Kat,20 Yaşında,Kombi,7 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,,,20 TL,Evet,Evet,"Kuzey,",
İstanbul,Beylikdüzü,Adnan Kahveci,Daire,3,2,485.000 TL,7 Gün Önce,140 m2,3. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz
İstanbul,Kadıköy,Caddebostan,Daire,4,1,1.500.000 TL,7 Gün Önce,200 m2,9. Kat,26 Yaşında,Merkezi,9 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,,,Güney,Doğalgaz
İstanbul,Kadıköy,Suadiye,Daire,3,1,1.750.000 TL,23 Gün Önce,130 m2,7. Kat,Sıfır Bina,Kombi,8 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,"Güney,",Doğalgaz
İstanbul,Sarıyer,Zekeriyaköy,Villa,5,1,12.350.000 TL,11 Gün Önce,480 m2,3. Kat,4 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,5,,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,3.000 TL,Hayır,,,Doğalgaz
İstanbul,Sarıyer,Emirgan,Villa,3,1,7.000.000 TL,5 Gün Önce,180 m2,,28 Yaşında,Kombi,,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,,,
İstanbul,Bahçelievler,Siyavuşpaşa,Daire,3,1,435.000 TL,5 Gün Önce,120 m2,4. Kat,32 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,40 TL,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Kadıköy,Suadiye,Daire,2,1,1.245.000 TL,7 Gün Önce,118 m2,Bahçe Katı,30 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,,,Güney,Doğalgaz
İstanbul,Sarıyer,Maden,Daire,3,1,1.900.000 TL,Bugün,210 m2,2. Kat,3 Yaşında,Kombi,,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,,,,,,,Doğalgaz
