city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Bakırköy,Şenlikköy,Daire,2,1,1.700.000 TL,5 Gün Önce,120 m2,3. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,,,Doğalgaz
İstanbul,Bakırköy,Yeşilyurt,Daire,4,1,2.600.000 TL,4 Gün Önce,200 m2,Yüksek Giriş,30 Yaşında,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,,"Kuzey,",Doğalgaz
İstanbul,Şişli,Kuştepe,Daire,3,1,925.000 TL,Dün,120 m2,6. Kat,2 Yaşında,Kombi,6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,100 TL,Hayır,Evet,,Doğalgaz
İstanbul,Bahçelievler,Şirinevler,Daire,4,1,750.000 TL,10 Gün Önce,165 m2,5. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,Evet,"Kuzey,",Doğalgaz
İstanbul,Kadıköy,Fenerbahçe,Daire,4,1,4.900.000 TL,12 Gün Önce,280 m2,13. Kat,Sıfır Bina,Kombi,13 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,Güney,Doğalgaz
İstanbul,Beyoğlu,Cihangir,Daire,2,1,855.000 TL,15 Gün Önce,75 m2,2. Kat,35 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Kagir,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,Evet,"Doğu,",Doğalgaz
İstanbul,Bakırköy,Şenlikköy,Daire,5,1,2.500.000 TL,26 Gün Önce,350 m2,3. Kat,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,,,,,,,,,
İstanbul,Bahçelievler,Yenibosna Merkez,Daire,3,1,940.000 TL,4 Gün Önce,125 m2,2. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,25 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Üsküdar,Ahmediye,Daire,3,1,1.100.000 TL,17 Gün Önce,130 m2,2. Kat,20 Yaşında,Merkezi (Pay Ölçer),4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Beylikdüzü,Cumhuriyet,Daire,2,1,189.950 TL,6 Gün Önce,110 m2,2. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,20 TL,Evet,Evet,Güney,Doğalgaz
