city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Kadıköy,Suadiye,Daire,3,1,2.495.000 TL,29 Gün Önce,155 m2,10. Kat,Sıfır Bina,Merkezi (Pay Ölçer),11 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,Güney,Doğalgaz
İstanbul,Maltepe,Altıntepe,Daire,3,1,410.000 TL,19 Gün Önce,120 m2,4. Kat,16 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,,,,,Güney,Doğalgaz
İstanbul,Bakırköy,Zuhuratbaba,Daire,3,1,780.000 TL,4 Gün Önce,140 m2,5. Kat,35 Yaşında,Merkezi,5 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,,,,,,Doğalgaz
İstanbul,Kadıköy,Fenerbahçe,Daire,4,2,8.500.000 TL,3 Gün Önce,280 m2,10. Kat,Sıfır Bina,Kombi,10 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,Güney,Doğalgaz
İstanbul,Kadıköy,Caddebostan,Daire,6,2,6.250.000 TL,27 Gün Önce,350 m2,10. Kat,Sıfır Bina,Kombi,10 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,
İstanbul,Beyoğlu,Cihangir,Daire,1,1,477.000 TL,14 Gün Önce,70 m2,Kot 2,35 Yaşında,Kombi,9 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,,Kat Mülkiyeti,,Hayır,Evet,Güney,Doğalgaz
İstanbul,Beşiktaş,Vişnezade,Daire,2,1,1.100.000 TL,11 Gün Önce,100 m2,4. Kat,5 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,,Hayır,Evet,"Kuzey,",Doğalgaz
İstanbul,Beylikdüzü,Beylikdüzü OSB,Daire,2,1,200.000 TL,3 Gün Önce,110 m2,3. Kat,Sıfır Bina,Kombi,10 Katlı,Uygun,Eşyalı Değil,1,,Sıfır,Boş,,,Evet,,"Kuzey,",Doğalgaz
İstanbul,Sarıyer,Zekeriyaköy,Villa,4,2,4.500.000 TL,25 Gün Önce,324 m2,Villa Katı,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,4,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,Doğu,Doğalgaz
İstanbul,Maltepe,İdealtepe,Daire,3,1,1.050.000 TL,5 Gün Önce,165 m2,3. Kat,1 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Kiracı Oturuyor,Kat Mülkiyeti,100 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Tuzla,İstasyon,Daire,3,1,380.000 TL,17 Gün Önce,145 m2,Villa Katı,10 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,,,Evet,Güney,Doğalgaz
İstanbul,Ataşehir,Fetih,Daire,1,1,225.000 TL,7 Gün Önce,60 m2,4. Kat,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Küçükçekmece,Cumhuriyet,Daire,3,1,335.000 TL,18 Gün Önce,120 m2,2. Kat,2 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat Mülkiyeti,20 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Sancaktepe,İnönü,Daire,5,1,520.000 TL,29 Gün Önce,220 m2,3. Kat,3 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,,Evet,Evet,Güney,Doğalgaz
İstanbul,Bakırköy,Yeşilköy,Daire,3,1,3.100.000 TL,3 Gün Önce,165 m2,3. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,200 TL,Hayır,Evet,"Güney,",Doğalgaz
İstanbul,Kadıköy,Caddebostan,Daire,5,2,3.500.000 TL,17 Gün Önce,330 m2,7. Kat,1 Yaşında,Kombi,7 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,Güney,Doğalgaz
İstanbul,Silivri,Selimpaşa,Daire,2,1,325.000 TL,30 Gün Önce,115 m2,,8 Yaşında,Kombi,,Uygun,Eşyalı Değil,1,,,,,,,,,
İstanbul,Kadıköy,Suadiye,Daire,3,1,1.595.000 TL,10 Gün Önce,160 m2,6. Kat,25 Yaşında,Merkezi,7 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat Mülkiyeti,,Hayır,,"Güney,",Doğalgaz
İstanbul,Bahçelievler,Bahçelievler,Daire,2,1,199.000 TL,9 Gün Önce,80 m2,Bahçe Katı,26 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Evet,Güney,Doğalgaz
İstanbul,Sarıyer,Tarabya,Daire,3,1,2.800.000 TL,3 Gün Önce,180 m2,3. Kat,Sıfır Bina,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,500 TL,,,,Doğalgaz
İstanbul,Ataşehir,Küçükbakkalköy,Daire,3,1,750.000 TL,15 Gün Önce,130 m2,3. Kat,9 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracı Oturuyor,Kat İrtifakı,50 TL,Hayır,,"Kuzey,",Doğalgaz
İstanbul,Kadıköy,Fenerbahçe,Daire,5,2,4.900.000 TL,3 Gün Önce,300 m2,13. Kat,Sıfır Bina,Merkezi (Pay Ölçer),13 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Evet,Güney,Doğalgaz
İstanbul,Kadıköy,Fenerbahçe,Daire,5,2,23.000.000 TL,8 Gün Önce,350 m2,2. Kat,4 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,3,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,,Güney,Doğalgaz
