city,district,neighborhood,prop_type,rooms,living_room,price,last_edit,area,prop_floor,building_age,heating_type,building_floors,credit_availability,furniture_availability,bathrooms,building_type,building_status,usage_status,deed,dues,swap,student_single,facade,fuel_type
İstanbul,Beşiktaş,Ortaköy,Daire,4,1,5.700.000 TL,4 Gün Önce,240 m2,3. Kat,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,3,Betonarme,İkinci El,,Kat Mülkiyeti,500 TL,Hayır,Evet,,Doğalgaz
İstanbul,Maltepe,Altıntepe,Daire,2,1,515.000 TL,Bugün,100 m2,3. Kat,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,50 TL,Hayır,,Güney,Doğalgaz
İstanbul,Bahçelievler,Siyavuşpaşa,Daire,2,1,370.000 TL,3 Gün Önce,90 m2,2. Kat,25 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,25 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Bakırköy,Yeşilköy,Daire,3,1,4.000.000 TL,3 Gün Önce,160 m2,Bahçe Katı,3 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,500 TL,Hayır,Evet,Güney,Doğalgaz
İstanbul,Çekmeköy,Mimar Sinan,Daire,2,1,280.000 TL,18 Gün Önce,85 m2,Yüksek Giriş,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Ev Sahibi Oturuyor,Kat İrtifakı,,Hayır,,Güney,Doğalgaz
İstanbul,Maltepe,Aydınevler,Daire,3,1,520.000 TL,Bugün,120 m2,2. Kat,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,60 TL,Hayır,,Doğu,Doğalgaz
İstanbul,Sarıyer,Maslak,Daire,3,1,1.200.000 TL,4 Gün Önce,117 m2,15. Kat,6 Yaşında,Merkezi (Pay Ölçer),32 Katlı,Uygun,Eşyalı,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat Mülkiyeti,,Hayır,Evet,,Doğalgaz
İstanbul,Esenyurt,Hürriyet,Daire,3,1,260.000 TL,28 Gün Önce,125 m2,Yüksek Giriş,7 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracı Oturuyor,Kat İrtifakı,50,Evet,Evet,Batı,Doğalgaz
İstanbul,Maltepe,Küçükyalı,Daire,2,1,400.000 TL,Bugün,90 m2,3. Kat,28 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat İrtifakı,50 TL,Hayır,,"Güney,",Doğalgaz
İstanbul,Kadıköy,Göztepe,Daire,4,1,1.795.000 TL,5 Gün Önce,175 m2,9. Kat,20 Yaşında,Merkezi,10 Katlı,Uygun,Eşyalı,2,Betonarme,İkinci El,Boş,,300 TL,,Evet,"Güney,",Doğalgaz
